    ,advertiser                                                       ,store_private ,ad_title                                                              ,location               ,condition ,price ,ad_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,ad_id    ,date_of_publishing ,number_of_showings
  0 ,iconnectservis                                                   ,trgovine      ,apple iphone 11 64gb rabljeno do 36 rata zamjena                      ,Osječko-baranjska      ,rabljeno  ,  299 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 11 64gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 87% boja crna mreze otkljucan na sve mreze napomena obavjest o ekranu u postavkama na uredjaju ej orginalni ekran cijena za gotovinu kartica jednokratno 299 00 cijena za kartice na rate 340 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,42219120 ,07.12.2023.        ,                 1
  1 ,ElektronikOutlet                                                 ,oglasivaca    ,apple iphone 11 novo 99% zdravlje baterije gratis 3d                  ,Grad Zagreb            ,rabljeno  ,  390 ,apple iphone 11 64gb perfektno stanje kao novo izlozbeni primjerak originalna oprema kutija i sve ostalo apple case apple fast charger 3d kaljeno prednje zastitno staklo 3d staklo za kameru tvornicki otkljucan na sve mreze zdravlje baterije 99% redovita cijena 590 snizena cijena 380 tel. 095 5197219 moguce preuzimanje u zagrebu ili slanje postom pouzecem na trosak primatelja.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,41414861 ,07.12.2023.        ,              2836
  2 ,Tomominirent                                                     ,oglasivaca    ,iphone 11 64b top stanje                                              ,Grad Zagreb            ,rabljeno  ,  250 ,iphone 11 u super stanju sve radi fantasticno zdravlje baterije na 92 posto. kutija punjac uz njega. zvati na 0919035243                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,40022374 ,07.12.2023.        ,              2779
  3 ,TECHNOSTORE                                                      ,trgovine      ,apple iphone 11 64gb nov dostava garancija                            ,Zagrebačka             ,rabljeno  ,  399 ,uredjaj je izlozbeni kao nov folija na ekranu dolazi sa svom opremom adapter i kabel original 100% baterija 12mj jamstvo kontakt 091 895 0096. dostupan u vise boja mi smo web trgovina i izdajemo racun na ime moze i r1 uz ovjereno jamstvo od 12 mjeseci u ovlastenom servisu od datuma kupnje. dostava na podrucju cijele rh dostavnom sluzbom dpd izdajemo r 1 racun. narudzbu mozete izvrsiti na sljedece nacine tel 091 895 0096 dominik tel 099 4111 768 mail prodaja technostore.hr web www.technostore.hr tehnicke specifikacije uredjaja pogledajte na www.technostore.hr u nasoj web trgovini mozete platiti... kreditnom karticom amex diners i zaba maestro na do 24 rata jednokratno ili na obroke do 12 obroka ... ... opcom uplatnicom virmanom internet bankarstvom ili gotovinom prilikom dostave paketa. korisnik prilikom kupovine samostalno bira nacin placanja kojim ce izvrsiti placanje. ako kupac odabere placanja na transakcijski racun slanje robe biti ce izvrseno nakon zaprimljene uplate. placanje kreditnim karticama jednokratno diners discover maestro mastercard i visa obrocno diners od 2 do 24 rate zaba do 12 rata pbz do 12 rata mb plus od 2 do 12 rata . u mbnet grupaciji su sljedece banke erste steiermarkische bank d.d. istarska kreditna banka umag d.d. sberbank d.d. kent banka agram banka d.d. slatinska banka d.d na nasoj web trgovini dostupni su i drugi modeli po najpovoljnijim cijenama ostale oglase mozete pogledati klikom na svi oglasi ovog oglasivaca u donjem desnom kutu. unaprijed vam hvala na povjerenju i daljnoj suradnji                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,30723566 ,07.12.2023.        ,              2278
  4 ,iMOBILE                                                          ,trgovine      ,prodajem apple iphone 11 sve mreze garancija 3mj.                     ,Vukovarsko-srijemska   ,rabljeno  ,  299 ,imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 11 64gb kupljen kao slobodan uredjaj 85% zdravlje baterije radi na sve mreze bijela boja ocuvan max. uz mobitel ide kutija punjac usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 300 00 2.252 82kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,41921867 ,07.12.2023.        ,               438
  5 ,eltrondd                                                         ,oglasivaca    ,iphone 11 128gb crni rac garan. sve mreze bat 100% dostava            ,Grad Zagreb            ,rabljeno  ,  350 ,iphone 11 128gb mobitel doslovce ko novi tvornicki odklj na sve mreze racun i garancija baterija 100% dolazi sa brzim punjacem moguca osobna dostava zg ostatak hr hpexpress ili gls 0996707567                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,37101234 ,06.12.2023.        ,              6999
  6 ,rasprodajagarazna                                                ,oglasivaca    ,iphone 11                                                             ,Grad Zagreb            ,rabljeno  ,  230 ,ispravan koristen 64 gb baterija 78%....                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,41398844 ,06.12.2023.        ,               362
  7 ,27021976                                                         ,oglasivaca    ,iphone 11                                                             ,Istarska               ,rabljeno  ,  450 ,prodajem iphone 11 kao nov racun garancija                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,42215485 ,06.12.2023.        ,                11
  8 ,DJ123                                                            ,oglasivaca    ,i phone 11 ocuvan kutija                                              ,Varaždinska            ,rabljeno  ,  180 ,prodajem navedeni mob... nosen u zastitnoj maskici zdravlje baterijev69% kutija bez punjaca                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,42215469 ,06.12.2023.        ,                31
  9 ,dalmacija19                                                      ,oglasivaca    ,prodajem apple iphone 11                                              ,Splitsko-dalmatinska   ,rabljeno  ,  250 ,prodaje se apple iphone 11 od 64 gb u urednom stanju. mobitel dolazi sa zastitnom maskicom i ima zaljepljeno kaljeno staklo preko ekrana. ispod je kao nov bez ogrebotina ili mehanickih ostecenja. takoder ima svoju originalnu kutiju. zdravlje baterije 83%. bez punjaca.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,42212122 ,06.12.2023.        ,                34
