   ,advertiser                                                       ,store_private ,ad_title                                                          ,location               ,condition ,price ,ad_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,ad_id    ,date_of_publishing ,number_of_showings
 0 ,iconnectservis                                                   ,trgovine      ,apple iphone 11 pro 256gb rabljeno do 36 rata zamjena             ,Osječko-baranjska      ,rabljeno  ,  399 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 11 pro 256gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 90% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 399 00 cijena za kartice na rate 450 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,40562332 ,07.12.2023.        ,               737
 1 ,smoke9                                                           ,oglasivaca    ,iphone 11 pro max 256gb nova baterija                             ,Grad Zagreb            ,rabljeno  ,  350 ,prodajem iphone 11 pro max 256gb sivi. manji znakovi koristenja na staklu. sve radi. ovaj tjedan stavljena nova baterija. nije orginal. odjavljen icloud racun. uz mobitel dajem kutiju punjac kabel i maskice. kontakt pozivi sms whatsapp njuskalo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,42218581 ,07.12.2023.        ,                 4
 2 ,eltrondd                                                         ,oglasivaca    ,iphone 11 pro max gold 256gb sve mreze ko novi dostava            ,Grad Zagreb            ,rabljeno  ,  390 ,iphone 11 pro max zlatni 256gb mobitel doslovce ko novi racun tvornicki odklj na sve mreze baterija nova 100% apple akcija dolazi sa brzim punjacem moguca dostava                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,42168386 ,07.12.2023.        ,               241
 3 ,"Ab mobile d.o.o- trgovina,gsm,elektronika,informatika,dijelovi" ,trgovine      ,apple iphone 11 pro max 256gb space gray rabljen kap. bat. 91%    ,Istarska               ,rabljeno  ,  350 ,apple iphone 11 pro max 256gb space gray rabljen kap. bat. 91% detaljni opis artikla dostupan na nasem webshop u https ab mobiteli.com products apple iphone 11 pro max 256gb space gray rabljen kap bat 91 variant 47253656764759                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,42218081 ,07.12.2023.        ,                 6
 4 ,Jaka95                                                           ,oglasivaca    ,iphone 11 pro max 256gb gold                                      ,Grad Zagreb            ,rabljeno  ,  369 ,prodajem iphone 11 pro max 256gb. zdravlje baterije je na 87%. nedavno zamijenjen ekran zadnja slika . uz mobitel dolazi kutija punjac i dvije maskice. cijena nije fiksna mob 0994614423                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,42216206 ,06.12.2023.        ,                45
 5 ,boks7                                                            ,oglasivaca    ,iphone 11 pro max 64gb                                            ,Zagrebačka             ,rabljeno  ,  210 ,prodajem iphone 11 pro max 64gb prednje staklo puknulo lcd radi. zdravlje baterije 79%. uz uredjaj ide racun i original kutija sa punjacem.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,42216000 ,06.12.2023.        ,                36
 6 ,MicroStyle                                                       ,oglasivaca    ,apple iphone 11 pro max lte 256 gb 4 gb midnight green top stanje ,Grad Zagreb            ,rabljeno  ,  390 ,apple iphone 11 pro max lte 256 gb 4 gb midnight green prodajem navedeni iphone u odlicnom stanju sva oprema u kutiji maska i kaljeno na njemu. radi besprijekorno nikad nista servisirano ili mijenjano. cijena 390                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,42119921 ,06.12.2023.        ,               357
 7 ,Xxx_Yyy_Zzz                                                      ,oglasivaca    ,iphone 11 pro max                                                 ,Zadarska               ,rabljeno  ,  270 ,prodajem iphone 11 pro max bez ostecenja                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,42214279 ,06.12.2023.        ,                34
 8 ,sanctanimus                                                      ,oglasivaca    ,iphone 11 pro max 64gb                                            ,Splitsko-dalmatinska   ,rabljeno  ,  370 ,prodajem iphone 11 pro max od 64gb midnight green boje. mobitel izuzetno ocuvan bez ikakve ogrebotine na ekranu ili kucistu. sve uredno radi ukljucujuci face id. zdravlje baterije na 87% kao sto se moze vidjet sa zadnje slike baterija uredno izdrzi cijeli dan a nekad i po dan ipo. uz njega se dobije punjac maskica i orginalna kutija. mobitel je resetiran na tvornicke postavke. posjedujem i racun.                                                                                                                                                                                                                                                                                                                                                                                                                          ,42211968 ,06.12.2023.        ,                25
 9 ,Marco07                                                          ,oglasivaca    ,iphone 11 pro max 64gb                                            ,Brodsko-posavska       ,rabljeno  ,  320 ,mobitel je u savrsenom stanju 10 10 nema niti jedne crtice na sebi sve orginal na njemu face id radi tvornicki otkljucan na sve mreze zdravlje baterije 79% uz mobitel posjedujem svu pripadajucu opremu plus novo kaljeno staklo 4 maskice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,42144451 ,05.12.2023.        ,               103
10 ,XEROS                                                            ,oglasivaca    ,iphone 11 pro max 64 gb zlatni                                    ,Grad Zagreb            ,rabljeno  ,  300 ,prodajem iphone 11 pro max 64gb boja gold kupljen u 11 2019 zdravlje baterije na 76%. mobitel je u super stanju bez ostecenja. uz njega dolazi kutija punjac adapter i kabel maskica novo zastitko staklo te racun. molim bez zamjena. cijena je fixna te za spustanje molim ne zovite primopredaja u zagrebu ili saljem postom zamjene iskljucene. oglas nije prodan sve dok je aktivan.                                                                                                                                                                                                                                                                                                                                                                                                                                                ,41326868 ,05.12.2023.        ,              1880
11 ,LjuboPO                                                          ,oglasivaca    ,iphone 11 pro max 256 gb                                          ,Grad Zagreb            ,rabljeno  ,  450 ,iphone 11 pro max 256 gb u odlicnom stanju                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,42198950 ,04.12.2023.        ,               107
12 ,Josipjosipn7                                                     ,oglasivaca    ,iphone 11 pro max 256 gb space gray kao novi moze zamjena         ,Grad Zagreb            ,rabljeno  ,  389 ,mobitel je u odlicnom stanju kao novi je bez i jedne ogrebotine 256 gb zdravlje baterije 91% kutija i oprema cijena 389 moze zamjena zvati na 0916054662                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,42152220 ,04.12.2023.        ,               292
13 ,mark1224                                                         ,oglasivaca    ,iphone 11 pro max                                                 ,Grad Zagreb            ,rabljeno  ,  330 ,iphone 11 pro max 64gb graphite stanje odlicno zdravlje baterije 81% face id i sve ostalo radi kutija maskica i racun zamjene ne                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,42082524 ,04.12.2023.        ,               187
