    ,advertiser                                                       ,store_private ,ad_title                                                              ,location               ,condition ,price ,ad_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,ad_id    ,date_of_publishing ,number_of_showings
  0 ,smart_8888                                                       ,oglasivaca    ,apple iphone 12 pro 128gb graphite kao novi oprema sve mreze          ,Primorsko-goranska     ,rabljeno  ,  430 ,apple iphone 12 pro 128 gb graphite kao novi s originalnom opremom radi na sve mreze zdravlje baterije 83%. moze se preuzeti u rijeci.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,42105429 ,07.12.2023.        ,               151
  1 ,eltrondd                                                         ,oglasivaca    ,iphone 12 pro 128gb ko novi sve mreze 100% bat dostava                ,Grad Zagreb            ,rabljeno  ,  490 ,iphone 12pro black 128gb mobitel doslovce ko novi baterija 100% tvornicki odkljucan na sve mreze dolazi sa novim brzim punjacem moguca dostava                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,35673968 ,07.12.2023.        ,              4454
  2 ,zeewoin                                                          ,oglasivaca    ,iphone 12 pro 256 gb pacific blue odlicno ocuvan                      ,Grad Zagreb            ,rabljeno  ,  550 ,prodajem iphone 12 pro 256 gb pacific blue. mobitel kupljen u ducanu prije godinu i pol. ocuvan maksimalno i u odlicnom stanju. uz mobitel poklanjam originalnu maskicu kupljenu u istoru koja nije koristena a placena 66 eur. mobitel prodajem iskljucivo jer sam kao poklon dobio novi. 098 76 79 76 luka                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,41961757 ,07.12.2023.        ,              1033
  3 ,Mozart55                                                         ,oglasivaca    ,iphone 12 pro 256 gb                                                  ,Grad Zagreb            ,rabljeno  ,  470 ,uredaj star 2 godine u odlicnom stanju baterija 87% kutija racun punjac zamijene iskljucene                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,42195446 ,07.12.2023.        ,               118
  4 ,Tino55                                                           ,oglasivaca    ,iphon 12 pro 128gb                                                    ,Sisačko-moslavačka     ,rabljeno  ,  500 ,iphon 12 pro 128gb u odlicnom stanju na njemu kaljeno staklo baterija 80% uz mob ide kutija i punjac kabel i adapter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,42190502 ,07.12.2023.        ,                27
  5 ,zovime                                                           ,oglasivaca    ,iphone 12 pro 128gb graphite 10 10 kao novi                           ,Grad Zagreb            ,rabljeno  ,  450 ,prodajem iphone 12 pro o 128 gb memorije u tamnoj crne boje. mobiteli u savrsenom stanju bez i najmanjeg traga koristenja kao sto se moze vidjeti na slikama uredjaja. uredjaj je star dvije godine zdravlje baterije moj na 86% kapaciteta. moguce je svaka provjera uredjaja.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,41198009 ,07.12.2023.        ,               307
  6 ,Alpha servis                                                     ,trgovine      ,apple iphone 12 pro 128gb rabljeno rate zamjena 2177                  ,Osječko-baranjska      ,rabljeno  ,  520 ,uredjaj apple iphone 12 pro 512gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 84% mreze slobodan uredjaj cijena za gotovinu 520 00 cijena za kartice 580 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,38545963 ,07.12.2023.        ,               690
  7 ,alexx58                                                          ,trgovine      ,iphone 12 pro 256 gb kao nov                                          ,Grad Zagreb            ,rabljeno  ,  480 ,iphone 12 pro 256 gb 85% baterija pacific blue star 18 mjeseci. u odlicnom stanju mobitel je kao nov uvijek u maskici i sa zastitnim staklom sve radi kao prvi dan. uz mobitel ide kutija kabel za punjenje i kvalitetna zastitna maskica. ne zanimaju me zamjene.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,42215852 ,06.12.2023.        ,                33
  8 ,zagorac13                                                        ,oglasivaca    ,iphone 12 pro pacific blue baterija 96% aktiviran 12.03.2023.         ,Osječko-baranjska      ,rabljeno  ,  499 ,prodaje se navedeni uredjaj prekrasne pacific blue boje kupljen i aktiviran 12.03.2023. u osjeckom telemach centru. unatoc starosti od 9 mjeseci isti je savrsene ocuvanosti bez i najmanjeg traga uporabe baterija na izvrsnih 96% otkljucan na sve mreze uz sami uredjaj prilazem originalnu kutiju punog sadrzaja te racun i garanciju.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,42215310 ,06.12.2023.        ,                31
  9 ,MIleMed                                                          ,oglasivaca    ,iphone 12 pro 128gb space gray                                        ,Grad Zagreb            ,rabljeno  ,  420 ,prodajem iphone 12 pro 128gb space gray stanje 10 10. baterija na 81% dolazi sa svom pripadajucom opremom kutija papiri kabel za punjenje . iphone radi kao i prvog dana.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,42215130 ,06.12.2023.        ,                26
