   ,advertiser                                                       ,store_private ,ad_title                                                               ,location               ,condition ,price ,ad_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,ad_id    ,date_of_publishing ,number_of_showings
 0 ,oia                                                              ,oglasivaca    ,iphone 14 128gb garancija racun full oprema top stanje                 ,Splitsko-dalmatinska   ,rabljeno  ,  650 ,iphone 14 kupljen 15.2.2023 garancija do 2024 istog. kutija racun garancija original apple punjac kabel placeni 35e maskica prozirna zdravlje 98% samo split povoljno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,41650463 ,07.12.2023.        ,               312
 1 ,Win1s3                                                           ,oglasivaca    ,iphone 14 128gb kao novo jamstvo jos 10 mj poklon punjac i maskica     ,Splitsko-dalmatinska   ,rabljeno  ,  699 ,koristen 20 dana. od prvog dana stavljeno zastitno staklo i maskica . stanje 10 10 novo. zdravlje baterije je 100%. boja midnight hr racun i jamstvo d0 10 mj. 2024 radi na sve mreze. ne saljem postom . ne uzimam zamjene . sve info na 091 5322322                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,41890210 ,07.12.2023.        ,               464
 2 ,iconnectservis                                                   ,trgovine      ,apple iphone 14 128gb rabljeno do 36 rata zamjena                      ,Osječko-baranjska      ,rabljeno  ,  659 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 14 128gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja blue zdravlje baterije 89% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 679 00 akcija na gotovinu 659 00 cijena za kartice na rate 730 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,41996713 ,07.12.2023.        ,               299
 3 ,anja1611                                                         ,oglasivaca    ,iphone 14 128gb purple..garancija..osijek..zamjene                     ,Osječko-baranjska      ,rabljeno  ,  599 ,star 11mj racun posjedujem garancija jos 1mj baterija 94% icloud free face id ispravan sve u ispravnom stanju nigdje razbijen cijena 599e moguce zamjene za jeftinije tel 098 996 3848                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,42068458 ,07.12.2023.        ,               330
 4 ,Zalagaonica Kvatrić                                              ,trgovine      ,iphone 14 256gb                                                        ,Grad Zagreb            ,rabljeno  ,  685 ,rabljeno odlicno stanje ekran ima zastitno staklo zdravlje baterije 94% opseg isporuke uredjaj kutija karticno placanje 753 00 5.673 47 kn lokacija trg eugena kvaternika 2 zagreb os ios 16 dimenzije 146.7 x 71.5 x 7.8 mm mm tezina 172 g zaslon 6.1 xdr oled super retina 1170 x 2532 memorija ram rom ram 6 gb rom 256 gb memorijska kartica ne povezivost 2g 3g 4g wifi usb 2.0 bluetooth 5.3 kamera glavna prednja glavna 12 mp 12 mp prednja 12 mp procesor a15 bionic 2x3.23 ghz avalanche 4x1.82 ghz blizzard baterija 3279 mah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,41648709 ,07.12.2023.        ,              1482
 5 ,audi7                                                            ,oglasivaca    ,iphone 14 128gb racun garancija punjac                                 ,Bjelovarsko-bilogorska ,rabljeno  ,  600 ,prodajem iphone 14 128gb boja midnaight stanje 10 od 10 baterija 89% radi na sve mreze..racun garancij jos 5 mjeseci bjelovar zagreb osobno preuzimanje a moze i slanje hp ekspresom placanje pouzecem nakon sto pregledate paket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,42109163 ,07.12.2023.        ,               351
 6 ,iMOBILE                                                          ,trgovine      ,prodajem apple iphone 14 128gb sve mreze garancija                     ,Vukovarsko-srijemska   ,rabljeno  ,  690 ,imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 14 128gb 96% zdravlje baterije kupljen kao slobodan uredjaj radi na sve mreze ocuvan boja starlight uz mobitel ide kutija usb kabal sim iglica garancija 3mj. racun cijena 690 00 opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,41997389 ,07.12.2023.        ,               256
 7 ,Potrci                                                           ,oglasivaca    ,iphone 14 midnight 128gb radi na sve mreze racun garancija 3mj         ,Grad Zagreb            ,rabljeno  ,  590 ,mobitel kupljen 07.02.2023. koristen uglavnom za razgovore sve radi uredno radi na sve mreze 091 092 095 097 098 099. dolazi u ambalazi sa komplet opremom garancijom koja vrijedi do 07.02.2024. mobitel je kao novi stanje 100 100 zdravlje baterije na 90 %. na displeju je zastitno kaljeno staklo i koristen je u maskici original koja ide u paketu. moze se pogledati i preuzeti u zg a sve po dogovoru pozivom na broj iz oglasa.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,42214475 ,06.12.2023.        ,                41
 8 ,Sanmarko1991                                                     ,oglasivaca    ,apple iphone 14 128 gb top stanje 10 od 10 jamstvo adapter gratis      ,Osječko-baranjska      ,rabljeno  ,  629 ,top stanje 10 od 10. mode 128 gb. na sve mreze radi. star 5 mjeseci racun i jamstvo telemach. baterija 97%. maskica staklo i adapter gratis. 0912277007                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,42066756 ,06.12.2023.        ,               211
 9 ,zdravfemas                                                       ,oglasivaca    ,super prilika                                                          ,Grad Zagreb            ,rabljeno  ,  650 ,malo koristen kupljen u 8 mjesecu 2023 original kutija racun potpuno ocuvan zastitno staklo i maska                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,42211737 ,06.12.2023.        ,                33
