,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,Marijanna88,oglasivaca,iphone 13 pro 128gb alpine green stanje 10 10,Grad Zagreb,rabljeno,650,mobitel je u zastitnoj maskici od prvog dana nema niti jedno ostecenje stanje 10 10. kupljen u istore u posjedujem racun nije vise pod garancijom originalna kutija kabel i maskica zastitna.,42486168,10.01.2024.,1
1,Marijanna88,oglasivaca,iphone 13 pro 128gb alpine green stanje 10 10,Grad Zagreb,rabljeno,650,mobitel je u zastitnoj maskici od prvog dana nema niti jedno ostecenje stanje 10 10. kupljen u istore u posjedujem racun nije vise pod garancijom originalna kutija kabel i maskica zastitna.,42486153,10.01.2024.,2
2,AppleIos,oglasivaca,iphone 13 pro 128gb graphite kao nov,Zagrebačka,rabljeno,550,prodajem iphone 13 pro 128gb graphite. mobitel je kao nov bez ikakvih ostecenja sto se moze vidjeti na fotografijama. kupljen 12 mjesec 2021g. stanje baterije 87%. uredjaj dolazi u originalnoj kutiji s kablom.,42486058,10.01.2024.,6
3,markopjaca999,oglasivaca,iphone 13 pro 128gb,Zagrebačka,rabljeno,640,u stanju novog baterija 82% orginal pakiranje. zamjena za samsung moze noviji model. ponude molim wp viber ili njuskalo poruke. za gotovinu cijena fiksna.,42485608,10.01.2024.,23
4,mark1224,oglasivaca,iphone 13 pro 10 10 kao nov,Grad Zagreb,rabljeno,580,iphone 13 pro 128gb graphite stanje 10 10 kao nov zdravlje baterije 87% drzi cijeli dan face id i sve ostalo radi uredjaj nikad nije popravljan kutija maskica 580 0915037140,42391859,10.01.2024.,586
5,Njuskalo_VZ,oglasivaca,iphone 13 pro 128gb plavi kao nov,Varaždinska,rabljeno,640,star 2 godine jako ocuvan bez crtica. baterija 82% moze zamjena za noviji model androida moguce i moje doplate. ponude molim u njuskalo inbox hvala.,42485573,10.01.2024.,12
6,Alpha servis,trgovine,apple iphone 13 pro 128gb rabljeno rate zamjena 2290,Osječko-baranjska,rabljeno,680,uredjaj apple iphone 13 pro 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo 3 mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 84% mreze slobodan uredjaj cijena za gotovinu 680 00 cijena za kartice 750 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37254911,10.01.2024.,1484
7,Alpha servis,trgovine,apple iphone 13 pro 256gb rabljeno rate zamjena 2238,Osječko-baranjska,rabljeno,760,uredjaj apple iphone 13 pro 256gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 84% mreze slobodan uredjaj cijena za gotovinu 760 00 cijena za kartice 840 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37561626,10.01.2024.,2105
8,Alpha servis,trgovine,apple iphone 13 pro max 128gb rabljeno rate zamjena 2243,Osječko-baranjska,rabljeno,800,uredjaj apple iphone 13 pro max 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 88% mreze slobodan uredjaj cijena za gotovinu 800 00 cijena za kartice 880 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37307930,10.01.2024.,1332
9,BrunoR_,oglasivaca,iphone 13 pro 256gb,Grad Zagreb,rabljeno,699,prodajem telefon u odlicnom stanju bez ijedne crtice ogrebotine. s kutijom od prvog dana u maskici. 0989979529,42485118,10.01.2024.,40
