    ,advertiser                                                       ,store_private ,ad_title                                                               ,location               ,condition ,price ,ad_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,ad_id    ,date_of_publishing ,number_of_showings
  0 ,jeichar                                                          ,oglasivaca    ,iphone 13 128gb 10 10                                                  ,Bjelovarsko-bilogorska ,rabljeno  ,  450 ,vrhunski ocuvan iphone 13. bez i jedne ogrebotine na ekranu i kucistu. stanje 10 10. spreman za koristenje bez greske. od pocetka koristenja ima zastitu ekrana i maskicu. kupljen nov u a1. stanje baterije 84% bez zamjena. otkljucan na sve mreze.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,42272979 ,13.12.2023.        ,                24
  1 ,xyxy-zadar                                                       ,oglasivaca    ,prodajem iphone 13 vrhunsko stanje                                     ,Zadarska               ,rabljeno  ,  440 ,prodajem iphone 13 128gb plave boje minimalni tragovi koristenja star tocno 24mjeseca. zdravlje baterije na 86% traje odlicno gasi se tek nakon par minuta na 1% baterije. u vrhunskom stanju od prvog dana u zastitnoj masci i sa zastitnim staklom. prodaje se samo jer je kupljen novi. uz njega dolazi original pakiranje kabel nikad koristen bez ikakvih zamjena.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,42234726 ,13.12.2023.        ,                87
  2 ,jan2304                                                          ,oglasivaca    ,iphone 13 128 gb                                                       ,Grad Zagreb            ,rabljeno  ,  420 ,iphone 13 128 gb 87% zdravlje baterije sve ispravno i sve radi kutija maskica kabel racun 099 486 4789                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,42271779 ,13.12.2023.        ,                43
  3 ,pitroid7                                                         ,oglasivaca    ,iphone 13 256gb product red savrseno stanje punjac racun               ,Grad Zagreb            ,rabljeno  ,  539 ,iphone 13 256gb crvene boje savrseno ocuvan u mint stanju pogledajte fotke originalna baterija na 89% uz uredjaj ide i originalna kutija i hr racun i jamstveni list. radi na sve mreze punjac na poklon preuzimanje osobno u zagrebu 0923875559                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,42270145 ,13.12.2023.        ,                23
  4 ,eltrondd                                                         ,oglasivaca    ,iphone 13 128gb stanje ko novo sve mreze garancija dostava             ,Grad Zagreb            ,rabljeno  ,  530 ,iphone 13 crni 128gb mobitel doslovce ko novi tvornicki odklj na sve mreze koristen 6mj racun i garancija dolazi sa brzim punjacem moguca dostava                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,42231227 ,13.12.2023.        ,               240
  5 ,mahlad                                                           ,oglasivaca    ,iphone 13 128gb crni                                                   ,Zagrebačka             ,rabljeno  ,  450 ,prodaje iphone 13 128gb crni zbog koristenja drugog telefona. mobitel od prvog dana ima zastitno staklo i masku. nema nikakvih tragova koristenja niti nedostataka. baterija na 94%. uz mobitel i kutija i kabel. koristen 18mj.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,42271107 ,13.12.2023.        ,                35
  6 ,iconnectservis                                                   ,trgovine      ,apple iphone 13 256gb rabljeno do 36 rata                              ,Osječko-baranjska      ,rabljeno  ,  559 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 13 256gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja crvena zdravlje baterije 85% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 559 00 cijena za kartice na rate 660 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,42106655 ,13.12.2023.        ,               194
  7 ,iconnectservis                                                   ,trgovine      ,apple iphone 13 256gb rabljeno do 36 rata zamjena                      ,Osječko-baranjska      ,rabljeno  ,  559 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 13 256gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja midnight zdravlje baterije 87% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 559 00 cijena za kartice na rate 660 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,40552126 ,13.12.2023.        ,               939
  8 ,iconnectservis                                                   ,trgovine      ,apple iphone 13 128gb rabljeno do 36 rata zamjena                      ,Osječko-baranjska      ,rabljeno  ,  529 ,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 13 128gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja blue zdravlje baterije 88% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 529 00 cijena za kartice na rate 600 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,40324853 ,13.12.2023.        ,              2513
  9 ,rango12                                                          ,oglasivaca    ,iphone 13 128gb stanje novo kratko koristen kupljen u istayla punjac   ,Splitsko-dalmatinska   ,rabljeno  ,  630 ,na prodaju iphone 13 od 128gb. mobitel je u top stanju max ocuvan. stalno nosen u maskici koja je ujedno na poklon. kupljen 22.09.2023 god u istayla. garancija do 22.09.2025 god. ima produljeno jamstvo . radi na sve mreze. bila boja. poklon maskica i punjac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,42150340 ,13.12.2023.        ,                83
 10 ,rango12                                                          ,oglasivaca    ,iphone 13 128gb stanje novo kratko koristen gratis punjac              ,Splitsko-dalmatinska   ,rabljeno  ,  630 ,stanje novo. kratko koristen kupljen 22.08.2023 god u t coma. garancija 12mj. radi na sve mreze. crna boja. poklanjam punjac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,41394314 ,13.12.2023.        ,               684
 11 ,MobiRi Store                                                     ,trgovine      ,iphone 13 starlight 128gb rabljeno trgovina racun r1                   ,Primorsko-goranska     ,rabljeno  ,  499 ,uredjaj iphone 13 starlight 128gb stanje 9 10 promo njuskalo cijena 499 karticna placanja 548 90 garancija 3 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,41698805 ,13.12.2023.        ,               406
