,advertiser,store_private,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,valesipek,oglasivaca,snizeno iphone 13 128 gb bijeli,Grad Zagreb,rabljeno,499,prodajem bijeli iphone 13 128 gb stanje baterije 88%. kutija kabel za punjnje. bez tragova koristenja stanje 10 10,41690974,21.01.2024.,1667
1,2fastforyou,oglasivaca,apple iphone 13 128gb racun garancija,Krapinsko-zagorska,rabljeno,450,mobitel bez tragova koristenja...baterija 96%,42594660,21.01.2024.,22
2,Bjaksic2,oglasivaca,iphone 13 128gb,Grad Zagreb,rabljeno,490,prodajem iphone13 kao nov 10 10 sa dvije maske i brzim punjacem.,42457503,21.01.2024.,274
3,Mborky,oglasivaca,iphone 13 128 gb,Sisačko-moslavačka,rabljeno,450,prodajem iphone 13 128 gb. mobitel je u odlicnom stanju od prvog dana u maskici i na njemu zastitno staklo stanje baterije 87%. uz mobitel ide kutija i svo ostalo sto je u kutiji. cijena 450 eura. moguca zamjena za iphone 15 128 gb uz moju nadoplatu.,42593900,21.01.2024.,27
4,Zagrebačka Zalagaonica - OTKUP/PRODAJA/ZALOG,trgovine,iphone 13 green 128 gb r1 rate ,Grad Zagreb,rabljeno,550, iphone 13 green 8gb 128 gb rabljeno odlicno stanje zdravlje baterije 96% garancija mogucnost placanja na rate pbz maestro visa do 12 rata pbz visa premium do 12 rata kontaktirati nas mozete putem poziva sms a whatsapp a email a takodjer sve nase proizvode mozete pogledati kupiti u nasoj zalagaonici na tresnjevci krapinska ulica 5 radnim danom od 9 19 h subotom od 9 15 h posjetite nas instagram profil zagrebacka zalagaonica,42429128,21.01.2024.,779
5,Tomominirent,oglasivaca,iphone 13 odlican,Grad Zagreb,rabljeno,410,iphone 13 sa 128 gb u super stanju. zdravlje baterije na 87 posto sve radi. napoklon maskica otkljucan na sve mreze zvati na 0919433530,40022350,21.01.2024.,4540
6,medeni20,oglasivaca,iphone 13 128gb crveni moguce zamjene,Splitsko-dalmatinska,rabljeno,520,520 mob je ocuvan garancija istekla zdravlje baterije 87% gratis punjac i maskica ako je zamjena ne dajem punjac preuzimanje split solin kastela sinj i okolica info 0912754444 ne odgovaram na njuskalo poruke,42239962,21.01.2024.,311
7,Viki54321,oglasivaca,iphone 13 pink 128gb sa zastitnim staklom,Grad Zagreb,rabljeno,450,iphone 13 rozi 128gb dvije godine star sa zastitnim staklom zdravlje baterije 88%,42592878,21.01.2024.,37
8,elganado,oglasivaca,iphone 13,Grad Zagreb,rabljeno,370,128 gb sve radi normalno nikada popravljan zdravlje baterije 89%. mobitel je izgreban jer nije koristena maskica zato je i takva cijena. posjedujem kutiju i kabel. ne saljem postom iskljucivo osobno preuzimanje zagreb ,42592572,21.01.2024.,95
9,devilstear,oglasivaca,iphone 13 128gb midnight,Grad Zagreb,rabljeno,450,prodajem rabljeni iphone 13. baterija na 89% uscuvan nosen u maski od prvog dana kao i zastita na staklu. staklo nema ogrebotine. dolazi sa kutijom i original kabelom oglas iz usluge za vise informacija nazvati na 0911604885 zamjene iskljucene,42501596,21.01.2024.,782
