,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,Prodajahit,apple iphone 13 pro 128 gb ispravan odlican 128 gb bat 86%,Osječko-baranjska,rabljeno,670,uredjaj koristen godinu dana i sad visak dobiven sluzbeni drugi 14 pa je ovaj na prodaju. uredjaj jako ocuvan i ispravan. baterija na 86% 091 734 8809,41681366,23.11.2023.,332
1,dsimic1969,iphone 13 pro 128gb,Vukovarsko-srijemska,rabljeno,700,iphone 13 pro 128gb stanje 10 10 mobitel nema niti jedne crtice na sebi.. od prvog dana kaljeno staklo i maskica. posjedujem original kutiju uz odgovarajuce papire kupnje te kabal za punjenje zdravlje baterije 90% cjena uredjaja 700 eura mobitel je moguce osobno pregledati,42093743,23.11.2023.,12
2,dw5k1,iphone 13 pro,Grad Zagreb,rabljeno,750,prodajem iphone 13 pro. sierra blue 128 gb zdravlje baterije 87% uz mobitel dolazi originalna kutija punjac te maskice koje mozete vidjeti na slikama. molim bez zamjena samo osobna primopredaja. za ozbiljnog kupca moguca mala korekcija cijene. za sve dodatne informacije javiti se u inbox.,42092688,23.11.2023.,34
3,A-Rijeka,iphone 13 pro 128gb,Primorsko-goranska,rabljeno,250,prodajem iphone 13 pro. ekran u savrsenom stanju nikad nije bio bez zastitnog stakla. zdravlje baterije 87%. aplikacija kamere ne radi samo je crno. kada se otvori prednja selfie kamera kroz whatsapp ili instagram onda radi a zadnja ne radi. ne znam u cemu je problem s kamerom zato ga prodajem po nizoj cijeni.,42092623,23.11.2023.,44
4,mcindric444,iphone 13 pro 256gb graphite dostupan odmah,Osječko-baranjska,rabljeno,850,iphone 13 pro 256gb graphite kupljen 25.10.2021. zdravlje baterije 92% savrseno stanje maska i zastitno staklo na njemu od prvog trenutka dodatne dvije maske i dva rezervna zastitna stakla. zamjene ne dolaze u obzir osobno preuzimanje dostupan odmah,41480807,23.11.2023.,352
5,Alpha servis,apple iphone 13 pro max 128gb rabljeno rate zamjena 1895,Osječko-baranjska,rabljeno,800,uredjaj apple iphone 13 pro max 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 91% mreze slobodan uredjaj cijena za gotovinu 800 00 cijena za kartice 880 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37307930,23.11.2023.,1146
6,roksa0509,iphone 13 pro gold,Šibensko-kninska,rabljeno,600,mobitel u dobrom stanju. sitni tragovi koristenja. upravo stavljena nova baterija stara baterija na uvid. na ekranu kaljeno staklo. 3 maskice punjac i original kutija,41999636,23.11.2023.,101
7,Tickistik,iphone 13 pro 128gb siera blue,Osječko-baranjska,rabljeno,699,iphone 13 pro u izvrsnom stanju koristen ima 85% baterije. ima svoju originalnu kutiju kablel i poklanjam punjac.,41921208,22.11.2023.,117
8,odvorcic,iphone 13pro 128 graphite,Dubrovačko-neretvanska,rabljeno,675,iphone 13pro moguce preuzimanje u zagrebu ili dubrovniku dolazi s kutijom i punjacem,42088616,22.11.2023.,26
9,emakc,prodajem iphone 13 pro gold 128gb radi na sve mreze koprivnica,Koprivničko-križevačka,rabljeno,415,na iphone u je razbijena zadnja strana. od pada ne radi face id i prednja kamera je malo mutna od prasine. prva sam vlasnica nikad rastavljan i slicno. mob radi bez poteskoca. zdravlje baterije 89% ne odgovaram na njuskalo poruke odgovaram samo na pozive,41515081,22.11.2023.,1855
