,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
0,Win1s3,iphone 14 128gb kao novo jamstvo jos 10 mj poklon punjac i maskica,Splitsko-dalmatinska,rabljeno,670,koristen 20 dana. od prvog dana stavljeno zastitno staklo i maskica . stanje 10 10 novo. zdravlje baterije je 100%. boja midnight hr racun i jamstvo d0 10 mj. 2024 radi na sve mreze. ne saljem postom . ne uzimam zamjene . sve info na 091 5322322,41890210,23.11.2023.,259
1,crtic87,iphone 14,Grad Zagreb,rabljeno,619,prodajem iphone 14 star godinu dana stanje odlicno svi papiri od prvog dana u zastitnoj masci i zasticen kaljenim staklom,42006933,23.11.2023.,319
2,anja1611,iphone 14 128gb purple..garancija..osijek..zamjene,Osječko-baranjska,rabljeno,649,star 11mj racun posjedujem garancija jos 1mj baterija 94% icloud free face id ispravan sve u ispravnom stanju nigdje razbijen cijena 650 moguce zamjene za jeftinije tel 098 996 3848,42068458,23.11.2023.,43
3,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb black crni top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386589,23.11.2023.,71
4,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb ljubicasti top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386557,23.11.2023.,77
5,Alpha servis,apple iphone 14 128gb rabljeno rate zamjena 1981,Osječko-baranjska,rabljeno,690,uredjaj apple iphone 14 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 96% mreze slobodan uredjaj cijena za gotovinu 690.00 cijena za kartice 760.00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,41919109,23.11.2023.,160
6,Alpha servis,apple iphone 14 128gb rabljeno rate zamjena,Osječko-baranjska,rabljeno,690,uredjaj apple iphone 14 128gb stanje uredjaja rabljeno jamstvo na uredjaj 16.03.2024 originalni datum kupnje 16.03.2023 pisana garancija uz svaki uredjaj zdravlje baterije 92% mreze slobodan uredjaj cijena za gotovinu 690 00 cijena za kartice 760 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,38967699,23.11.2023.,1313
7,iconnectservis,apple iphone 14 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,659,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 14 128gb jamstvo na uredjaj jamstvo 3 mjeseci stanje uredjaja rabljeno boja blue zdravlje baterije 89% mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 679 00 akcija na gotovinu 659 00 cijena za kartice na rate 730 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41996713,23.11.2023.,113
8,iconnectservis,apple iphone 14 128gb rabljeno do 36 rata zamjena akcija,Osječko-baranjska,rabljeno,699,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 14 128gb jamstvo na uredjaj jamstvo do 04.07.2024 stanje uredjaja rabljeno zdravlje baterije 100% boja midnight mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 719 00 akcija na gotovinu 699 00 cijena za kartice na rate 790 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,40537208,23.11.2023.,1252
9,anja1611,iphone 14 128gb crni osijek zamjene,Osječko-baranjska,rabljeno,640,star godinu dana garancija neki dan istekla racun posjedujem baterija 94% icloud free face id ispravan sve u ispravnom stanju nigdje razbijen gratis punjac original cijena 640e moguce zamjene za jeftinije tel 098 996 3848,42021754,23.11.2023.,90
